uncivil,civil,
"``` Crap! Using the same client and the demo.bigbluebutton server, the bug is not reproducable :( So it must be something with an Ubuntu Client and an Ubuntu server ```  Reported by `derarnold@web.de` on 2011-01-14 11:46:30","""Unfortunately, while using the same client and the demo.bigbluebutton server, I couldn't reproduce the bug. It appears the issue may lie specifically with an Ubuntu Client and an Ubuntu server. "" 

Reported by `derarnold@web.de` on 2011-01-14 11:46:30.",
ooh nevermind then I didn't see your latest reply!!!,"I apologize about that, I overlooked your most recent response.",
I hate the idea of adding another UI setting. But having the option to turn off support for stars entirely doesn't sound too bad.,"While I'm not particularly fond of the notion of incorporating another UI setting, the proposal of having the capacity to disable the star feature does appear to hold some merit.",
"Damn the build is failing because the material dialogs author @user has deleted the release from bintray...  This isn't the first time it's happened either, we should probably consider trying to get rid of this dependency.  It looks like we'll need to update the library version and add jitpack as a repository: http  Updating the library version probably requires us to update to SDK 23 though, which will also break the Travis CI build","We're experiencing some issues with the build as the release has been removed from bintray by the Material Dialogs author, @user. This incident isn't unprecedented; thus, we might need to think about removing this dependency. Seems like we should consider updating the library version and including jitpack as a repository, found here: http. Yet, surely, this change, particularly upgrading to SDK 23, might also disrupt the Travis CI build.",
"Mail classes are likely to be loaded at server level and thus will have only one default mapping.  Alternatively, we can allow developers to configure a set of mime type mappings in their config files which Spring will use on a message-by-message basis and thus will not impact on anything that J2EE servers do to the overall JavaMail framework. Using this mechanism I can merge the defaults into the per-message context, so anyone who wants to use a mime.types file can and anyone who doesn't will simply get ","the default mapping.

1. It's quite probable that mail classes will be loaded at the server level, therefore, we might observe a single default mapping. However, there exists an alternative option where developers have the liberty to configure a group of mime type mappings within their config files. Spring would then utilize these on a per-message basis. This would preserve the integrity of the actions performed by the J2EE servers on the comprehensive JavaMail framework. By using this methodological approach, I have the capability of integrating the defaults into the per-message context. So, it's quite helpful; if anyone wishes to utilize a mime.types file, they can, otherwise they will simply receive the default mapping.",
"Thank god, i thought i was going crazy. Happens to me when i use navigation and my Bluetooth headset on the motorbike.",I'm relieved to find that I'm not the only one. I experience the same thing when I use the navigation and my Bluetooth headset while on my motorbike.,
"@user It's bad news for us, unfortunately, but we'll try to somehow avoid the jar hell problem, thank you for your effort and time!","@User, regrettably, this situation isn't ideal for us. However, we are committed to finding a solution to the problem you've highlighted, often known as 'jar hell'. Thank you for your contribution and the time you've dedicated to this.",
ch.java:166) [elasticsearch-7.16.1.jar:7.16.1] at org.elasticsearch.bootstrap.Elasticsearch.execute(Elasticsearch.java:157) [elasticsearch-7.16.1.jar:7.16.1] at org.elasticsearch.cli.EnvironmentAwareCommand.execute(EnvironmentAwareCommand.java:77) [elasticsearch-7.16.1.jar:7.16.1] ,"Your code seems to be referencing to Elasticsearch version 7.16.1 located on the 166th line of your ch.java file and also on the 157th line of Elasticsearch.java. Furthermore, there might be an execution taking place around the 77th line of the EnvironmentAwareCommand.java file.",
"@user I didnt know you trying to use ""documents"" to protect you from the world. I would'nt pull again.  Anyway you can't protect yourself using this technique sign - and enter. I can prove I made this code having it before the code come to the repository, and since it get there without my sign it be equals staling code. So, sign or no sign - always possible to make you/google guilty and violating copyright slavery... Just make it simple, opensource and fun. BTW i'm not going to sue anyway. Just show you h","@user, I just observed that you're attempting to use ""documents"" as a protective measure. However, I must kindly advise that this might not always serve you well. Using a sign and enter technique may not always shield you in all contexts. I am confident that I can demonstrate that I had generated this code prior to its arrival in the repository. Consequently, if it appeared there without my signature, it might be considered as unauthorized use of code, which could potentially lead to challenging situations concerning copyright violations. Hence, whether signed or unsigned, it's essential to tread carefully to avoid any inadvertent non-compliance, even for large entities like Google. To keep things trouble-free, perhaps it would be best to focus on open-source code and maintain a positive and engaging community spirit. I assure you, I have no intentions of filing a lawsuit; my intent is purely to guide you in the right path.",
"re always subject of misuse, and even if the illegal copies are just online for a few days or weeks, they might generate enough revenue for the publisher, hence rendering any takedown pretty useless.  Here's a few options I thought about:    - We could add a constraint to the license forbidding any publishing on Google Play (and those Asian and Arabic  app stores) without consent of Team NewPipe's administrative board. This would be a measure that you could enforce legally, especially on Google Play (beca","It seems there's always a potential for misuse, specifically in terms of unauthorized digital copies being made available online. Even if these copies are removed shortly after their publication, they might generate significant profits in the mean time, thus rendering a takedown somewhat fruitless. Here are a few potential solutions I've been mulling over:

1. One possibility is to incorporate a clause into the license that prevents the publication on platforms such as Google Play and other international app stores without the explicit consent of Team NewPipe's governing board. These would be legal binding measures that could be enforceable, especially on platforms like Google Play.",
"The uncontrolled notification is a horrible mis-feature. I don't care so much how it's done (I found it quickly in the FAQ) as the fact that it's done at all and I can't turn it off.   What if I don't want my contacts to know I am using Signal?  Scenario: I work in some high-flying place with a lot of paranoia, say the US White House. Anyone using Signal is immediately under suspicion of being a ""leaker"". Most of the people I work with are in each others' address books. When I install Signal, it alerts my","contacts. I think this feature could be potentially problematic for some users.

Civil version: I believe the automatic notification feature when a new user joins could be improved. I understand how it's operational and can find that information in the FAQ; however, I think the ability to turn these notifications off could be beneficial. 

One potential scenario where this could be impactful is in a high-stakes working environment where non-public communication may be viewed with suspicion - for example, in a politically sensitive environment like the US White House. If most colleagues are in each other's contact lists, when one decides to install Signal, it sends out a notification alerting them. It would be great if that feature could be optional.",
"""+1"" doesn't bring anything to the discussion, it's spam. When you post here, emails go out to many people. If everyone posted ""me too"", it would be chaos.  This project is OSS, if you really want something, it's best to show it by just implementing it.  On Mon, Feb 2, 2015 at 11:13 PM, vaxquis notifications@github.com wrote:  > hell, I would just cast my vote on this... _if there was a voting system > on GitHub_... >  > isaacs/github#9 http > isaacs/github#209 http >  > http >  > etc. ; that's why I stil","I would like to point out that adding ""+1"" to this conversation doesn't really contribute to or enhance the discussion. Since each post generates an email to multiple people on this thread, if everyone simply added ""me too,"" we might land in a slightly chaotic situation. What might be more effective in encouraging progress on this open-source software (OSS) project is to show interest by action - for instance, by implementing the changes you wish to see. 

On Mon, Feb 2, 2015, Vaxquis wrote saying they would lend their support to this idea if a voting system existed on GitHub. They have referenced several other GitHub cases as examples. That can indeed be one approach, but let's also keep other potential solutions in view. I hope this makes sense.",
"One **ugly** solution I thought is to create a new class and copy the content of `WebMvcTypeExcludeFilter` into it, and then use this insteadly.","One alternative solution I've considered could be to create a new class, transfer the content from `WebMvcTypeExcludeFilter` into it, and then utilize that instead.",
"BTW, I have not read your responses to my comments yet.","Just to let you know, I haven't had the chance to read your responses to my comments yet.",
"@user note, the mockup above doesn't include the new item ""See other viewers in the user's list"" [toggle butt]. We'll want to make sure that also gets added.","@user, just a quick observation - the mockup above appears to omit the newly proposed item ""See other viewers in the user's list"" [toggle button]. I believe this would be beneficial to incorporate as well.",
"Dude what the heck is wrong with u LOL. I just told you man, background player .. Click on that",May I kindly remind you of what I told you earlier? Please go ahead and click on the 'background player'. It's really quite simple.,
"arch.bootstrap.Elasticsearch.main(Elasticsearch.java:122) [elasticsearch-7.16.1.jar:7.16.1] 	at org.elasticsearch.bootstrap.Elasticsearch.main(Elasticsearch.java:80) [elasticsearch-7.16.1.jar:7.16.1] [2021-12-14T10:11:30,115][ERROR][o.e.b.ElasticsearchUncaughtExceptionHandler] [log] uncaught exception in thread [main] org.elasticsearch.bootstrap.StartupException: java.lang.IllegalStateException: jar hell! class: org.apache.logging.log4j.Logger jar1: /usr/share/elasticsearch/lib/log4j-api-2.16.0.jar jar2: ","It seems there are some difficulties in your Elasticsearch application. The program is unable to start properly due to a ""jar hell"". The conflict is happening between two JAR files related to the log4j logging library. Specifically, the class causing trouble is org.apache.logging.log4j.Logger. The conflicting JAR files are located at /usr/share/elasticsearch/lib/. The issue occurred at 10:11:30 on December 14th, 2021. Would you please check your library configuration or consider updating the problematic JAR files?",
"Ouch, messy indeed... Why not make a new platform called armv6hf and never distinguish between 32- and 64-bit? Technically it's Linux, but there's no need for it to be identified as ""Linux"" for the way that we use the platform code.   And why are all new JOGL binaries, for all platforms, added here?","I can see that things are a bit disorganized here, perhaps we could consider creating a new platform called armv6hf and refrain from making distinctions between 32- and 64-bit? Since we're technically working with Linux, there may not necessarily be a need to label it as such based on how we're utilizing the platform code. Also, I'm curious as to why all the new JOGL binaries for all platforms are being added here. Could you provide some insight on this?",
Aren't you in a corporate network or under the firewall?,Aren't you currently connected to your company's network or protected by a firewall?,
"orrect. It should be 9 and only 9 and never anything else. I think ""a little later"" will always happen, but I don't want to count on it. This is why we shouldn't make the path ""myobject.province.id"" and it should just be ""myobject.province""  2) A more dangerous scenario is the province's changes being cascaded by the underlying database, which causes more checks that the developers has to make = MORE BLOAT. Let's say we change Ontario's id to 13. If Hibernate should decide that we really want this change ","1) I believe we are not mistaken, it should indeed be a total of 9, without exception. I am inclined to accept the possibility that ""a bit later"" is a constant occurrence but I would rather not rely on it entirely. This is precisely why I suggest veering away from forming the path as ""myobject.province.id"" and opt for a more simplified ""myobject.province"". 

2) Alerting to a more troublesome scenario, the province's changes might inadvertently cause a cascade effect on the underlying database, which subsequently increases the load of checks for developers. Assume we alter Ontario's id to 13. If we let Hibernate decide for us then we might have to deal with additional complications. Let's ponder about this change before making a final decision.",
 only audio plays. This behaviour is identical to what BackgroundPlayer do. What are you asking for?  If i will switch to backgroundPlayer then there will be an audio lag (between transition for loading audio) and user will can't switch to video next time he opens an app. And there will be two services running. And mainvideoplayer will need to setup binding with backgroundplayer. It will make things work bad. If you know how to make it good feel free to make commits.  >Please add an element to the setting,"The audio seems to be functioning just like the BackgroundPlayer does. Could you please clarify your request? If we switch to BackgroundPlayer, I foresee potential issues such as a delay in audio loading during transitions and the inability for the user to switch to the video the next time the application is opened. Additionally, two services would be running simultaneously and the MainVideoPlayer would need to establish a binding with the BackgroundPlayer, which could compromise the overall performance. However, if you have ideas on how to beneficially incorporate it, please feel free to contribute. Could we consider adding an element to the settings as well?",
"nd Ansible scripts come in.   The points you've raised have been raised in this issue tracker and in the mailing lists countless times, and good answers have been given there, so give those a read if you're interested. I understand the motivation for this issue (complaining and ranting is always easier than taking action) but if we want anything good to come out of this, please propose some clear and actionable points so that even if you (or whoever else) can't, someone else can improve the installation e","You bring up some valid points about the possible use of Ansible scripts, and I see how this could be an area of interest. The observations you've made have been discussed quite frequently on this issue tracker and in our mailing lists before. There have been some insightful responses shared, which could be beneficial for you to revisit if you like. 

Your desire for improved conditions in this area is perfectly understandable, and constructive discourse is always welcome. However, for us to make any real, substantive changes, we would need more precise, actionable suggestions. This way, if you or any other member of our community may not have the opportunity to implement these changes, someone else could potentially step forward to enhance the installation process based on your suggestions.",
atePixels() }  void draw() { } ```,"It seems there may be some misunderstanding here. The text you've provided appears to be some undecorated program code, specifically empty functions from programming languages such as JavaScript or C++. Could you provide more context or clarify your request? Your cooperation is greatly appreciated.",
"This is absolutely bad!  Only i can say you is try to upgrade the AmLogic media decoders in another way you should use Software Decoder and this is a really ugly ideia, but i think will be 300% better than this Frozen every 5/10 seconds.  Like you can see in #678 you can select the codec.","I don't quite agree with the current situation. My suggestion for improvement would be to try updating the AmLogic media decoders in a different way. Although using a Software Decoder might not seem like the best idea, I believe it could greatly enhance the performance, maybe even by 300%, by avoiding the current freezing issue that occurs every 5 to 10 seconds. As referenced in #678, the codec can be selected accordingly.",
"oh crap, I thought this had merged","Oh, I was under the impression that this had already been merged.",
"ni isn't alone on this, it's just the one I picked on ;-)","You are not alone on this, it's just that your situation stood out to me.",
nik did you dig deeper here?,"Nik, were you able to delve more deeply into this particular aspect?",
Ouch. A lot of ouch.,"That sounds rather uncomfortable, to say the least.",
/log/bigbluebutton/bbb-rap-worker.log - this is the second server i have changed just because of this problem. Please let us know whats could be the wrong.,"I am currently accessing the /log/bigbluebutton/bbb-rap-worker.log and have noticed a recurring issue. This is, in fact, the second server that I've switched to due to this matter. I would sincerely appreciate it if you could provide some insight or possible solutions as to what could be causing the problem.",
"ntial, or at least it hasn't been essential so far.    More: There is no way to achieve from Java the performance attained using Unsafe and this is why it is so widely used. Cleaner, on the other hand, is a convenience in that it allows programmers not to have to worry about freeing resources that they have allocated.    Overusing Cleaner can cause contention, and block GC operations. See http  There are other attempts to create public Cleaners, but from what I have read, with varied success. DirectByteBu","So far, it doesn't seem to be essential. Additionally, it's been observed that the performance level attained using Unsafe cannot be matched by Java, which is presumably why it's such a preferred option. Switching to Cleaner provides a level of convenience as it removes the burden on programmers to manually free up the resources they've used. However, bear in mind that inadvertently overusing Cleaner may lead to contention and hinder GC operations. You can refer to this link for more details: http. There have indeed been other endeavours to develop public Cleaners, but the success rate appears to be relatively inconsistent if we go by various reports. DirectByteBu...",
WTF?  > Now there is missed:  ...,"Excuse me, it appears something might have been overlooked...",
tly or view it on GitHub > http > .,Could you kindly direct me to where I can view this? Is there a possibility for it to be viewed on GitHub via the provided HTTP link?,
"agmenting? > > — > You are receiving this because you are subscribed to this thread. > Reply to this email directly, view it on GitHub > <https://github.com/prestodb/presto/pull/12747?email_source=notifications&email_token=AFUGDD3OPBFHQ2JAMPSYIW3PVUDS7A5CNFSM4HJOF5XKYY3PNVWWK3TUL52HS4DFWFIHK3DMKJSXC5LFON2FEZLWNFSXPKTDN5WW2ZLOORPWSZGOBYZNRMA#pullrequestreview-238213296>, > or mute the thread > <https://github.com/notifications/unsubscribe-auth/AFUGDD3572UQG2VFKHDDJG3PVUDS7ANCNFSM4HJOF5XA> > . >","It appears you are inquiring about the issue at hand. Kindly remember, you are receiving this because you have subscribed to this thread. Feel free to respond to this email directly or view it on GitHub. Alternatively, if you wish to no longer receive updates, you have the option to mute the thread.",
"e program back to sane performance. (Surprisingly, `DecimalFormat` isn't much faster than `String.format()`, either)","The program has finally returned to a stable performance. Interestingly enough, it appears that 'DecimalFormat' isn't significantly quicker than 'String.format()'.",
"Sorry, my English is very bad, I tried to explain this issue.  I was reading http related code, I am very confused, because I think the following code should never be executed.  ```         if (length < contentRead) {             out.add(message);             out.add(new DefaultHttpContent(readBytes(ctx.alloc(), buffer, toRead)));             return;         } ```  Here is my derivation:  ``` int toRead = (int) length - contentRead; ```  After executing the above code, we get: `length = toRead + contentRe","I apologize if my explanation is not very clear because of my limited English proficiency. I've been trying to understand this http related piece of code and I'm a bit perplexed. 

Looking at the following snippet: 

``` 
if (length < contentRead) { 
    out.add(message); 
    out.add(new DefaultHttpContent(readBytes(ctx.alloc(), buffer, toRead))); 
    return; 
} 
``` 

I have an impression that this part might never actually be executed.

My understanding is as follows:

```
int toRead = (int) length - contentRead;
```

It suggests that after performing this calculation, we have: `length = toRead + contentRead`.

I'd appreciate and value any insight or guidance you can provide on this matter.",
otal time: 01:38 min Total time: 07:23 min Total time: 01:13 min Total time: 19:24 min Total time: 03:57 min Total time: 03:07 min Total time: 01:46 min Total time: 02:23 min Total time: 01:03 min Total time: 03:44 min ````  New Times: ```` Total time: 00:01 Total time: 00:46 Total time: 01:22 min Total time: 01:06 min Total time: 02:07 min Total time: 05:51 min Total time: 00:38 Total time: 01:04 min Total time: 00:50 Total time: 04:05 min Total time: 02:52 min Total time: 00:30 Total time: 01:06 min Tot,"The total time was 01:38 min. Then, we counted 07:23 min, followed by 01:13 min. Also, we marked down 19:24 min, 03:57 min, and 03:07 min. The time also showed 01:46 min and 02:23 min at separate instances. Finally, we noted 01:03 min and 03:44 min.

Moving on to the new times, we start with 00:01, 00:46, then 01:22 min. Other times we recorded were 01:06 min, 02:07 min, and a long one at 05:51 min. Additionally, we also accounted for 00:38, 01:04 min, and 00:50. Lastly, we finished with 04:05 min, 02:52 min, 00:30, and another 01:06 min.",
"Closing due to branch shenanigans, replaced by #71035","Our branch is temporarily being closed due to some administrative adjustments. However, please note that branch #71035 will be available for you to continue enjoying our services. Thank you for your understanding.",
"Yeah so I'm going to join the club here. Sometimes, like 10% of the time, messages only arrive when I open the app. I have a Galaxy Nexus and this happened with bot Kitkat PA and stock Jelly Bean. I'm running the latter now, and I'm really curious what's up. I did a clean install and everything, so I doubt it's my phone.  I personally think it's GAPPS screwing me over, but I'm not sure. Any ideas?","I will be joining the conversation on this topic. There's an issue I've occasionally run into, approximately 10% of the time, where messages only seem to arrive when I open the app. My device is a Galaxy Nexus, and I've experienced this problem with both Kitkat PA and the stock version of Jelly Bean. Currently, I'm using Jelly Bean, and am curious to understand what's going on. I've done a clean installation and all necessary procedures, so I'm pretty sure the issue isn't with my phone. My suspicion leans towards GAPPS, but I can't say for certain. Would anyone have any theories or potential solutions?",
"Yeah. Not exactly a showstopper, I know!","Yes, I understand it may not be overwhelming or highly impressive!",
*samza... phone autocorrect is being silly,"""Samza, it appears the autocorrect on my phone is being a bit quirky.""",
Using goog.provide and ES6 import in the same file is not allowed. The fix will be to get a compiler warning instead of crashing.,"It's worth noting that utilizing Google's provide and ES6 import within the same file is not compatible, according to standards. A more appropriate solution might be to address this issue by triggering a compiler warning rather than causing a total crash, ensuring smoother operation.",
"I'll pull the patch and take look later this afternoon, but this looks even better than I'd imagined.","I plan to review and possibly remove the patch later in the afternoon. At first glance, it appears to be exceeding my initial expectations.",
Did you solve this?,Have you managed to find a solution for this yet?,
"@user I implemented it with the approach you suggested, this is what I came away with:  ```ruby namespacing = self.class.to_s.split('::')  if defined?(Object.const_get(""#{namespacing[0, namespacing.length - 1].join('::')}::Bridge"")) &&           !namespacing.include?('Remote')   bridge.extend Object.const_get(""#{namespacing[0, namespacing.length - 1].join('::')}::Bridge"") end ```  I think I like it better, even though this code is ugly.","@user, I've carried out the implementation based on your suggestion, and here is the end result in ruby:

```ruby

namespacing = self.class.to_s.split('::')
if defined?(Object.const_get(""#{namespacing[0, namespacing.length - 1].join('::')}::Bridge"")) &&
        !namespacing.include?('Remote')
  bridge.extend Object.const_get(""#{namespacing[0, namespacing.length - 1].join('::')}::Bridge"")
end 

```

I must say, I generally find this approach preferable, though I concede that the code is not as refined as it might be.",
"Hello psychoboust, yes, you understood right, with this fork we can trigger 7 FEL file, by converting on the fly to profile 8 when watching it with the kodi fork. You just need to find the option in kodi to enable the conversion (option available into this fork only). Yes, EL enhancement layer is lost for profile 7 (FEL and MEL as well), but if you ask me, there is no noticeable quality  difference between p7 and P8.1. Personal opinion: EL (enhancement layer)  is kinda bullshit, is more like a marketing t","Hello Psychoboust, you're correct in your understanding. Using this fork allows us to trigger seven FEL files, which are converted in real time to profile 8 when viewed with the Kodi fork. You'll just need to locate the option in Kodi to enable the conversion - this option is specific to this fork. Be aware that in the process, we do lose the EL enhancement layer for profile 7 (applies to FEL and MEL equally), but in my personal opinion, there isn't a significant quality disparity between P7 and P8.1. To some, the EL (enhancement layer) might appear unnecessary, and its benefits could perhaps be seen as a marketing strategy.",
ate between multiple on-and-off clients is just too difficult with email.,Managing communications for several sporadic clients via email can often pose a challenge.,
Haven't heard back in over a year so closing.,"I haven't received any response for over a year now, hence taking the decision to conclude this.",
The code is so unbelievable complex it is hard to figure out what is happening.  It appears not to be the case but there are so many code paths.. it is just spaghetti.,"The code seems to be quite intricate and layered, making it a bit challenging to decipher the flow or the functionality. While it doesn't exactly seem erroneous, the multiple code paths and connections could perhaps be described as somewhat spaghetti-like.",
Glad to hear you got it working.,I'm absolutely delighted to know that you managed to get it working.,
"So I worked myself into this a bit further, and what i found out is, that accessing files via Unix file system (`File` class) is not possible any more. Instead you would want to use the Android Storrage Access Framework, which comes with its on classes and methods to handle files.  ### Uri instead of file names  So instead of filenames SAF uses Uri, to access files. What we would want to do in order to access SD card files is getting the Uri for the root directory, and cooncan the path to our file onto th","After delving deeper into this topic, I have discovered that using the Unix file system (or the `File` class) to access files is no longer possible. Rather, it is recommended that we utilize the Android Storage Access Framework. This framework provides its own set of classes and methods for file handling.

As a noteworthy point, instead of filenames, the Storage Access Framework uses Uri to access files. To access files on the SD card, our best approach would be to obtain the Uri for the root directory and then concatenate the path to the desired file to it.",
"ut.  users_v3 in this case disappeared, mappings/settings on many other of my indexes reverted to old mappings/settings, I had to delete a users_v1 index that was probably created with 0.20 or earlier that I've been dragging along.  Most interesting is I had changed a mapping from being static to dynamic and after the upgrade it went back to static.  Luckily i was above to downgrade to 1.4.1 and I'm back in business.","In this particular situation, it seems the users_v3 index was unfortunately lost. Additionally, it appears that the settings and mappings on many of my other indexes have reverted back to their older states. It was also necessary for me to remove a users_v1 index that I suspect was initially created with 0.20 or an earlier version. Most intriguing, however, was the fact that a mapping I had switched from static to dynamic reverted back to its original static condition after an upgrade. I'm relieved that I was able to mitigate the situation by downgrading back to the 1.4.1 version and I'm grateful to report that operations have resumed as normal.",
I committed my changes first. Then I updated and got a conflict. I merged it and then I commmitted again. So I had 2 commits.  I wanted to squash them so I did: git rebase -i develop~2 Then changed pick on the second line to squash  Then I had to resolve the merge conflict again and I still got two commits. It seems that it only squashes the commits until the merge conflict into one commit etc.  After that I googled and found and tried this: # Reset the current branch to the commit just before the last 12,"I initially made my changes and saved them. Subsequently, when I updated my code, I noticed a conflict between my changes and the new updates. I resolved this by merging the conflicted parts and saving once again. As a result, I made two separate save points or 'commits'. 

In an attempt to streamline and condense these commits into just one, I used the 'git rebase -i develop~2' command. With this step, I altered the 'pick' option on the second line to 'squash'. 

However, I noticed that I again had to resolve the merge conflict and, even after that, I ended up with two commits. It appears that the 'squash' command will only shrink commits up until the point of the merge conflict, but not the commits following it.

This left me a bit frustrated, leading me to seek out solutions online. I found and executed this command, which resets the current branch to just prior to the last dozen or so commits: '# Reset the current branch to the commit just before the last 12'.",
"> Update: I think I get why its a different directory, the ability to delete while holding the lock, if thats the case, then it makes sense. On crappy internet, will try and complete the review later tonight....  correct that is the only reason.","Update: I believe I understand why it's a different directory now, the ability to delete while holding the lock seems to be the reason. If that's the case, then it logically follows. I regret to inform you that my internet connection is currently not very reliable, but I'll make an effort to finish the review later tonight.... That seems to be the sole reason indeed.",
"The fact that you can use a tool a certain way is not, in itself, an endorsement of your mode of use.  BTW, Luddites would be breaking computers, not using them.","Just because you're able to use a tool in a specific way doesn't necessarily justify or validate your method of use. By the way, it's worth mentioning that, historically, Luddites were notorious for destroying machines rather than using them.",
"If possible, a line break in between Table and Query data might make scanning the differences easier on the eye.  for example now we have Table has blah blah blah. Query has blah blah blah.  This sucks when I make really big tables and even only 1 or two mistakes.  Changing it to the following could make it bit easier. Table has blah blah blah. Query has blah blah blah.","It might improve readability if we could possibly introduce a line break between the Table and Query data. This way, it would be easier to notice the differences, especially when dealing with larger tables. Here's what I was thinking:

Currently, we have this format: 'Table has...', 'Query has...', and this can be quite difficult to scan if there are only a few errors in large tables. 

Perhaps if we formatted it like this instead, it could enhance the user experience: 'Table has...', 'Query has...’. Please consider this suggestion, as it could notably simplify the process of pinpointing any mistakes. Thank you.",
.,"You did not provide any comments to convert into a civil, modest, polite, decent, gentle version. Please provide the content for the task.",
"Shoot, I missed that one. Sorry about the dupe!","Oh, I seem to have overlooked that one. My apologies for the repetition!",
"> I agree there should be only one way to get this maybe we can just use the Version utils everywhere? > +1 >  > that is actually not true - there is an upgrade path in LocalGatewayMetaState:625  Fair enough :)  > I kind of agree - I wonder what would happen if we missed something here? I mean there is no real upgradepath if shit hits the fan?  I wonder how bad it is to run with the wrong version (i.e., too old in this case). Wouldn't that cause way more subtle exceptions?  I see things around field data ","1. > I concur that a unified approach could be beneficial; perhaps we can utilize Version utils universally? 

   > I appreciate your viewpoint.

   > Actually, there appears to be an upgrade path in LocalGatewayMetaState:625. We must be mindful of this.

   > That's an interesting thought. I'm curious, what would be the potential consequences if something slipped through the cracks here? After all, there isn't a dedicated upgrade path if a major problem were to arise. 

   > It's worth considering the implications of operating with an outdated version. Could this not lead to more complex issues? 

   > I notice some elements related to field data. Would you care to expand on this?",
"s.add(jar.toRealPath().toUri().toURL()); +                                // codebase normalization in java is crazy, use java.io.File on purpose, +                                // since that is what is being used by classloaders. +                                codebases.add(jar.toFile().getCanonicalFile().toURI().toURL());                              }                          } ```","s.add(jar.toRealPath().toUri().toURL()); 
//The process of codebase normalization in Java may appear complex, but it is often beneficial to deliberately use java.io.File. 
//This can provide optimal compatibility since it's a frequently used method by classloaders. 
codebases.add(jar.toFile().getCanonicalFile().toURI().toURL()); 
} 
} 
```",
"@user -  1. To be honest, it _was_ intended to be somewhat attacking, mostly because I was genuinely aghast that the external editor function was removed, and what's more, removed **intentionally**. For what it's worth, I'm attacking the decision, not the people who _made_ the decision, but I very much did intend to attack the decision. 2. It's not a ""legacy"" feature. It's a required feature that has has been removed with no replacement. That's a bug. 3. If the processing people decided it had little valu","1. @user - 1. To clarify, my previous statement was more of a critique, fueled by my surprise about the external editor function being omitted, and importantly, being omitted on purpose. However, I want to emphasize that my comments are purely about this change, rather than the members who made the decision. I merely intended to question the decision itself, not the persons behind it. 
2. My perspective is that this should not be looked upon as a ""legacy"" feature. To me, it's indispensable and its removal without any substitute is indeed problematic. I think we might be dealing with a bug here.
3. I would argue if the processing team deemed it of minimal importance, I believe there is potential for a rethink.",
"the left side of the existing number, creates some confusion in TextSecure that does not correctly update the contact number.  My 2 cents...","I would like to share a minor observation regarding TextSecure. It seems there might be a slight confusion created by the numbers on the left side, as it doesn't appear to correctly update the contact numbers. Just my humble opinion...
",
"i sense there's something cool coming our way :) On Jun 19, 2013 10:42 PM, ""mattdesl"" notifications@github.com wrote:  > yeah.. total fuck up on my fork... expect a better pull request shortly :) >  > — > Reply to this email directly or view it on GitHubhttps://github.com/libgdx/libgdx/pull/479#issuecomment-19713348 > .","I'm anticipating something impressive heading our way shortly. :)

On Jun 19, 2013 10:42 PM, ""mattdesl"" notifications@github.com wrote:

 > Apologies for the confusion due to my mistake on my fork... Expect a more refined pull request soon. :)

 > — Reply to this email directly or view it on GitHub: https://github.com/libgdx/libgdx/pull/479#issuecomment-19713348>.",
ps://github.com/notifications/unsubscribe-auth/AESMR77UI5UF2CQICVEOAZLPXRML7ANCNFSM4GWMUXWA> > . >   --  *Alice Elliott* aliceell@umich.edu | LinkedIn Profile <https://www.linkedin.com/in/alice-elliott> | she/her/hers,"Hi there,

Allow me to intimate you with the link where you can unsubscribe to the notifications. Kindly click here: ps://github.com/notifications/unsubscribe-auth/AESMR77UI5UF2CQICVEOAZLPXRML7ANCNFSM4GWMUXWA> to proceed.

Sincerely,
Alice Elliott

Email: aliceell@umich.edu 
LinkedIn profile: https://www.linkedin.com/in/alice-elliott 
Pronouns: She/Her/Hers",
close?,Might this place be closing soon?,
"> P.S. may be issue should be created for problem [#8030 (comment)](https://github.com/checkstyle/checkstyle/pull/8030#issuecomment-608999013) >  > Not very critical, but looks ugly to me.  I'll open the issue when this PR is done, so that I can cover the case for annotations as well.","Postscript: There could potentially be an issue that needs to be addressed regarding problem [#8030 (comment)](https://github.com/checkstyle/checkstyle/pull/8030#issuecomment-608999013). 

While it's not critically urgent, I feel the aesthetic quality could be improved. Once this Pull Request has been completed, I plan to open an issue to ensure the same improvements can be applied to annotations as well.",
:| I definitely targeted my own repo for this. I swear.,"Indeed, I specifically directed this towards my own repository. I assure you.",
"the people who disagree with us are all motivated by malice, or that our political opponents are unpatriotic."" (Obama State of the Union speech) - ""Most of all, democracy breaks down when the average person feels their voice doesn't matter; that the system is rigged in favor of the rich or the powerful or some narrow interest."" - ""Things don't have to change the world to be important."" (Steve Jobs quote) - ""A lot of times, people don't know what they want until you show it to them."" - ""This product works ","1. ""It's important to note that those who have different viewpoints are not necessarily driven by ill-will, just as our political adversaries not always devoid of patriotism.""
   
2. ""Principally, democracy flounders when the typical person believes their opinion has no significance; an idea that the system is manipulated for the wealthier, the powerful, or any specific interest.""

3.Going by Steve Jobs, ""Every contribution, no matter how small, holds its own level of significance. The magnitude of change it can bring to the world is not always a measure of its importance.""

4. ""Often, individuals may not be aware of their desires until they are presented with the possibilities.""

5. ""The effectiveness of this product is commendable.""",
Haven't heard back in over a year,"It seems it has been quite a while, more than a year in fact, since we last spoke.",
