uncivil,civil,is_toxic
"Dang. It's a bit surprising to me since C++ typically allows one-past-the-end pointers, and one might extrapolate that to mean a pointer to the start of an empty vector would be permitted... but evidently not!",Dang. It's a bit surprising to me since C++ typically allows one-,0
That's a different kind of pig!  The fix should be here:  http,That's a different kind of person!,0
@user I'm looking to get a handle of the configurer and determine which of JWT or Opaque token is being configured by Spring internally.  I was able to use customizer with some ugly reflection code to access the private method `getAuthenticationProvider` of `OAuth2ResourceServerConfigurer` class and separately handle the JWT and Opaque Token flows.  ```     @user     public void configure(HttpSecurity http throws Exception {          ...         ...          http -> {              try {                 Me,@user I'm looking to get a handle of the configurer and determine which of,0
"duced all kinds of hell for bean deadlocking, but is a very simple approach and can be configured by means of parallelism and timeout to address the deadlocking issues.  After all, Spring already detects circular dependencies, and timeouts are widely used in detecting a deadlock.","duced all kinds of bad for bean deadlocking, but is a very simple approach",0
"    you si big pig and cao ni ma   dongweipeng_927@126.com   发件人： Roy Kim 发送时间： 2018-06-15 15:54 收件人： naver/pinpoint 抄送： code; Mention 主题： Re: [naver/pinpoint] yi 群傻逼 (#4228) @user You will be blocked from the community if you keep posting with inappropriate words. — You are receiving this because you were mentioned. Reply to this email directly, view it on GitHub, or mute the thread.",I don't like you.,0
"Hi Nico, I met a similar error (see http when I'm trying the connector.  > because it's provided at runtime by the Java Functions framework.  Could you explain a bit more? You mean the Pulsar client impl JAR is in the classpath and the connector is loaded by the Java Functions framework so the connector cannot access classes in Pulsar broker's classpath?  BTW, if a connector cannot access methods from modules like `pulsar-client-original` directly, it would be a bad experience for Pulsar connector develop","Hi Nico, I met a similar error (see http when I'm trying the connector",0
"I just finished the simple things. Now I need the information / answers to my questions in #277 and everything specific (font-family, font-size, images, ...). After that it won't look as ugly as now ;)  ![screenshot full 2](https://cloud.githubusercontent.com/assets/17365767/22709376/dbf62cfc-ed79-11e6-8533-b7d22f79de43.png) ![screenshot 2](https://cloud.githubusercontent.com/assets/17365767/22709375/dbf3a1f8-ed79-11e6-9161-25ae1766a004.png)",I just finished the simple things. Now I need the information and answers to my questions,0
"I tried to add missing libs:  ```gradle   compile ""com.github.virtuald:curvesapi:1.04""   compile ""com.bbn.poi.visio:ooxml-visio-schemas:2011.1"" ```  But it now fails with JarHell:  ``` Caused by: java.lang.IllegalStateException: jar hell! class: com.microsoft.schemas.office.visio.x2012.main.CellType$Factory jar1: /Users/dpilato/.gradle/caches/modules-2/files-2.1/org.apache.poi/poi-ooxml-schemas/3.15/de4a50ca39de48a19606b35644ecadb2f733c479/poi-ooxml-schemas-3.15.jar jar2: /Users/dpilato/.gradle/caches/mod",I tried to add missing libs:,0
"I dont think Transformers is a compelling enough name to go thru the process of renaming TokenFilters. They have had this name for over 15 years! This is definitely the first time i've ever heard anyone complain about the name. Despite growing up in the 1980's, ""Transformers"" makes me think of shitty movies.",I don't think Transformers is a compelling enough name to go through the process of ren,0
"@user I think no. It does have an [`empty-lines`](https://yamllint.readthedocs.io/en/stable/rules.html#module-yamllint.rules.empty_lines) rule, but it only has a `max` option but we need a `min`. And we cannot limit it to all children of `steps:` without putting `# yamllint disable` and `# yamllint enable` around, which would look ugly.",@user I think no. It does have an [`empty-lines`](,0
network of has contact to Tor devs to get more background about the Tor issues. I saw that Tor connections are much slower and less reliable as they have been in the past. For BitcoinJ we could fall back to clear-net connections in the worst case (has some privacy issues). For the P2P network we don't have any alternative though.,Network of has contact to Tor devs to get more background about the Tor issues. I,0
Should we not be solving this at the API level? To keep things in-line with the 'dumb front-end' philosophy?,Should we not be solving this at the API level? To keep things in-line,0
"I get maybe the same error, but am not sure. I’m on a throttled mobile connection (8kB/s) for half of every month, and since the last updates (~1-2 weeks ago?), I cannot upload images or longer audio messages anymore.  It just instantly shows ~20-25% done, and data rates jump to a impossible 25kB/s (as I said: it's an 8kB/s throttled connection!), and this 20-25% flickers every n seconds, as if it cancels and retries.  And it keeps doing that *forever*. Transferred 600MB (!!) over said throttled 8kB/s con","I get maybe the same error, but am not sure.",0
e them. A `LinkedList` in Java is horrible! A two element `LinkedList` uses up exactly the same memory as a 10 element `ArrayList`. Even Josh Bloch doesn't use it http :smile:   > I guess if we wanted to we could get rid of the comparators and use IntObjectMap.  I don't see why it makes sense to use an `IntObjectMap` for this. That's one of the reason why the current headers use so much memory. We would need an `ObjectToObjectMap`.,e them. A `LinkedList` in Java is horrible! A two element,0
"Thanks Mobi, Its annoying because its my phone so i play test a lot on this device and its a bit of a shitty bug that crashes the app. Thanks for the info.","Thanks Mobi, It's annoying because its my phone so I play test a lot",0
"For god's sake, different sketches using a common library? That's the exact opposite of what it's been talked about here: a sketch that would almost run seamlessly on different modes if it wasn't for a little snippet of code that needs to be different on different modes.   At the very least for Java and JavaScript modes.  There are at least 3 reasons why one needs to be able to switch forth and back constantly between Java and JabaScript modes WHILE DEVELOPING a sketch. At most 2 of them will (optimistica",At least 3 reasons why one needs to switch forth and back constantly between Java and JavaScript,0
"@user how dare you delay the release of a vital project that all of us use, and none of us contribute to or pay for.  Shame on you :wink:  Seriously though: how can we help?  Are there GitHub issues that could be addressed by developers not particularly familiar with Selenium internals?  Docs to write?  Release notes?  Infrastructure to provide?",@user how dare you delay the release of a vital project that all of us use,0
Third time's the charm! Ready to review.,Third time's the charm! Ready to review.,0
"I can't decide whether I think this is an elegant solution or an awful hack :) Probably best to assume the latter when reviewing it, and think about ways this might come back to haunt us in the future.",I can't decide whether I think this is an elegant solution or an awful hack.,0
" place to talk, i have no problem in retrying.  <details>  i dont want to install latest version over my 0.19.x install.  So, I asked for alternate app (similar to standalone installs in pc)/other way to get that in #fdroid irc channel.  jochensp replied with change appid and recompile.  being untouched to compiling stuff, I did my web search thereafter, and it fetched the result that sdk can be used. I was just asking for confirmation that would that work, to which that hole person became shit-hitted.  -",I was just asking for confirmation that would that work.,0
"Sucks that you fixed this (with the ""abort init if ACRA"" shunt) and then it came back like a :zombie: sorry","you fixed this (with the ""abort init if ACRA""",0
roblem as using the non fvh highlighter was wrapping terms in a phrase individually as opposed to the entire phrase.,roblem as using the non fvh highlighter was wrapping terms in a,0
"@user what a jerk! thanks for sharing, yea it is challenging for clients to accept the cost of web services ontop of hardware, for many consumers of smart-devices, this is a very new concept and they refuse to accept the on-going charge.  What I see large companies are doing is they bundle hardware+software as a service charge. So for $X/Month you eventually get the service such as occupancy monitoring, air/temp monitoring etc.  but not to hijack this thread, +1 on GDPR and T&C/Privacy efforts.   The abil","@user what a bad company! thanks for sharing, it is challenging for clients to",0
We should also consider the package name. As @user mentioned the PR plurals in package names are yuk.,We should also consider the package name,0
"Shit...This iner class must be static.When I re-write code in 4.1 I miss the ""static....""",this iner class must be static.When I re-write code in 4.,0
"  @user     public void uhOh() throws Exception {         HazelcastInstance hc = Hazelcast.getDefaultInstance();         HazelcastInstance hc2 = Hazelcast.newHazelcastInstance(hc.getConfig());          IList<Integer> list = hc.getList(""list"");         System.out.println(""list should be 0, is "" + list.size());         list.add(10);         System.out.println(""list should be 1, is "" + list.size());         list.destroy();         Thread.sleep(1000);         IList<Integer> otherlist = hc2.getList(""list"");   ",iList<Integer> list = hc2.getList(List),0
Flagging to see if anyone else on the team has ideas.,Gagging to see if anyone else on the team has ideas.,0
How will I execute the University class without main method ?  This speaks no sense .  How will I see how the code works or not ? How will I even see how the code runs ?  I think you don't even know the basics of java.  It is illogical of you to reply like that .. You can enroll in a basics course and then reply to me  You have just created dummy classes and arguing it is working ? Utter Nonsense..,How will I execute the University class without main method?,0
I had no idea that label existed. The future is now!,I had no idea that label existed. The future is now,0
It is still existing. I hate you stale bot,It is still existing.,0
"same happend to me.   Problem: i did not want to do anything else but install the 2.2.1 version through yum. no other magic, only a simple `yum install ./elasticsearch-2.2.1.rpm`. then starting it gave me the blues `CONF_FILE setting is no longer supported. elasticsearch.yml must be placed in the config directory and cannot be renamed.`  The solution:  `/etc/sysconfig/elasticsearch` had the `CONF_FILE=/etc/elasticsearch/elasticsearch.yml` line it it, that the rpm install process didn't update. after a cou",same happend to me.,0
"d really lousy. It's like… like trying to do serious work on a laptop with no USB ports that match anything I own, no HDMI connector, and no MagSafe for power.",d really lousy. It's like trying to do serious work on a laptop with no,0
"rg.apache.ignite.startup.cmdline.CommandLineStartup WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations WARNING: All illegal access operations will be denied in a future release CHECKPOINT_PARALLEL_SORT_THRESHOLD                              - [Integer] Starting from this number of dirty pages in checkpoint, array will be sorted with Arrays.parallelSort(Comparable[]) in case of CheckpointWriteOrder.SEQUENTIAL. CLIENT_THROTTLE_RECONNECT_RESET_TIMEOUT_INTERV",rg.apache.ignite,0
"You quickly want to jump to conclusions and call me shameless, don't you? I have other plans which I don't want to disclose the work is done with the consent of the owner of the content. I just want to ask if it is legal to ""Scrap"" their website(Youtube) and get the content from the site, I don't want to use the API cause the usage is limited. I am fairly new around GitHub or any source control, it forked automatically when I tried to edit the code. I really liked your app and I am looking forward to cont","You quickly want to jump to conclusions and call me bad, don't you? I",0
"  This is not so much a problem if you override onSubmit, but it looks kludgy. It is a real pain if you override doSubmitAction. In that case you are screwed as there is no way to get to the model. This means that in several cases instead of overriding doSubmitAction I have had to override onSubmit and just to call referenceData. Really unfortunate.  If the point of referenceData is to set up the things that are common to most views, then one would expect that the reference data might be needed by the suc","this is not so much a problem if you override onSubmit, but it looks bad",0
"use regular expression to replace it with `'a.b'`. It's ugly, I know, but I feel it's the best way to do it for me for now, if I want to have my code minified as much as possible.",use regular expression to replace it with `'a.b',0
"In the past, I worked with SQL databases that had case-insensitive resolution.  Recently, I had to use one (PostgreSQL if I remember correctly) that was case-sensitive. It sucked - a lot.  I'd go for your 2nd proposal: it's what most users expect. The 3rd proposal seems like a good idea but IMHO defeats the principle of least surprise.","In the past, I worked with SQL databases that had case-insensitive resolution.",0
" -Dio.netty.logger.type=io.netty.util.internal.logging.Log4J2LoggerFactory   ... ```  To summarize, I think 3c92f2b64a1c6803860ab310348abc9f1cb47ff4 is a good change but the underlying problem remains. Netty picks a Logger arbitarily simply because the ClassLoader is touching some Netty class and the user failed to land a `setLoggerFactory(...)` call prior to that. Worse, it's actually blowing up in the user's face and it doesn't really tell how it got into that state in the first place (I had to modify N", -Dio.Netty.logger.type=io.netty.,0
"@user wow, I didn't know that we have conflicts with Arquillian. Are you talking about some Jar Hell, or it is something else?","@user wow, I didn't know that we have conflicts with Arquillian.",0
"Damn, that's a bummer. Thanks for checking on that.",That's a bummer. Thanks for checking on that.,0
" will lead to Tomcat logging an error (or warning) at startup.  > I believe that enabling http by default and documenting that unless the selected server's native support library is installed or Java 9 is in use that HTTP/2 won't actually be enabled is the best way to go.  I could certainly be persuaded that enabling HTTP/2 by default is the way to go, but only if we can avoid the aforementioned error message from Tomcat. Perhaps we can automatically enable it with Tomcat but only if the necessary native ",i could certainly be persuaded that enabling HTTP/2 by default is the way to go,0
"I think it will be useful to set this checkbox for commits like this: ![screenshot from 2016-10-26 15-13-42](https://cloud.githubusercontent.com/assets/4196298/19727240/dabdc436-9b8e-11e6-9684-af74aed516e6.png) It will just optimize the imports of the changed files, nothing more. Otherwise we'll have that screwed up import order in a huge number of classes.  If you prefer to commit from the command line, you can trigger an optimize just for changed classes per module via the context menu and this checkbox",I think it will be useful to set this checkbox for imports like this.,0
" a combination thereof, work?","A combination thereof, work?",0
"rything come back as before - but sometimes not.   Edit: i found how i keep the new elements : you just have to delete an element of the playlist after the bug happens, and everything becomes ""saved"" Dont try too much because its exponential 😂",rything come back as before - but sometimes not,0
That's the least I can do for filing crappy bug reports against you :)  Also reported upstream: http,That's the least I can do for filing bad bug reports against you. Also reported,0
"FYI, it works by adding """" to dimensionExclusions.","FYI, it works by adding """" to dimensionExclusions.",0
"It is condescending because it can be misinterpreted as advice directed from a professional to a non-professional, or that something is or should be obvious when it apparently isn't (possibly also therefore being kind of arrogant)  ""I often see all"" sorts of things ""used quite un-seriously"" that are nonetheless condescending, arrogant, irritating, you name it.  The resistance to feedback is quite strong, I will continue to drop comments in when I see it pointedly requesting either in the specific (the nor",It is condescending because it can be misinterpreted as advice directed from a professional to,0
"Ok, thanks for finding the other things, too, this should solve my other problems! And the code is so much more readable and maintable  now. It took me ages to understand what was going wrong when I noticed there's something wrong and then it took me ages to find what was done where and how it all works together, much better now. It really is a hairy beast, but it is a very complex matter.","Ok, thanks for finding the other things, too, this should solve my other problems",0
"Darn... I was hoping for a silver bullet. The test code is still there, and compiles when commented out.  I've had a shot at the conversion (`libAnki` is ported with a few TODOs, but the python modules for CSV reading and dealing with files with BOMs are a little more tricky).   My main roadblock: It uses `csv.sniffer` to detect the type of CSV. The quote detection of this library uses the regex `groupindex` which Java regexes seem to be missing (I do need to do some more googling).  http","I was hoping for a silver bullet. The test code is still there, and comp",0
"Oh, seriously? I implemented this feature some years ago. I thought you hate all my ideas, looks like I was wrong.","Oh, seriously? I implemented this feature some years ago. I thought you dislike all",0
"Ah okay, I am still fairly new to the whole process of fork requests and such.  I realize I screwed up big time last time with the multiple fork requests :)","Ah okay, I am still fairly new to the whole process of fork requests and such",0
I use the workaround method to fix the restful endpoint `updatePartitionedTopic`. It's ugly though. I will refactor it in the next PR.  @user  @user @user  Could you review it again?,I use the workaround method to fix the restful endpoint.,0
"roovy-all (which shouldn't exist IMO, and definitely shouldn't be included as a non-optional dependency in anything else, which is how it usually gets on the classpath).","roovy-all (which shouldn't exist IMO, and definitely shouldn't be",0
"bed as 'competitive'.'I remember, every time I wrote a verse to Roman's Revenge and sent it to Eminem, he would send a new verse back,' she told XXL. 'It was competitive, it was fun.'I think all the big male artists (air quotes) also treated me with a sense of respect as an emcee. They took me serious. If they were on a track with me, they knew they had to come hard.'At the start of January, it was confirmed that Nicki and Nas had parted ways in December after the strain of a long-distance relationship pr","bed as 'competitive'.'I remember, every time I wrote a verse to Roman",0
Mac people don't care I guess.,Mac people don't care I guess,0
"he only truly universal format is E164, so we canonicalize everything into E164 in order to have a sane representation that's consistent everywhere.  The only place we can't do that is with short codes, so we try to detect them and canonicalize them differently.  > This prints true. So how this is an issue with libphonenumber?  No idea, try writing your test with Address.fromExternal() and see","he only truly universal format is E164, so we canonicalize everything into E164",0
".. :-) ) . All of them have the same problem. We all connect to different Teradata Instance (same version of server... v.15.0). By now, we are using the old 6.1.5. of dbeaver.   Tell me if I can help you in any way.  Thanks!!",All of them have the same problem. We all connect to different Teradata Instance,0
I also habe this problem. We do have a shitton of bandwith available (25 Gigabits) and we have at most 2 camers going on at the same time (audience has cam disabled) so in theory we could go extremly nuts. So i set bitrate to 10000 at high definition (that is a bit above youtube for FullHD 60FPS) but it kinda looks not that great. And yes HD was selected and i also made it the default.  So is there maybe any news in bbb 2.3 (we are running 2.3.3) to make stuff look good or even better than zoom 1080p?,I also habe this problem. We do have a shitton of bandwith available,0
"Aloha @user Thanks for interact! I understant that in your cases, makes sense to prefer send messages via data channel than via SMS channel and, consequently, you would choose to prioritize DATA than SMS in architectural choices about the TextSecure course. However, this is not the same case everywhere in the world. In Brazil, for example, it is most common to find free SMS packages available, than hiring data plans.  My consideration just want to put on the table that what is a reality for some persons i","Aloha, I just want to put on the table that what is a reality for",0
"er, instead a common core piece would collect these metrics and periodically emit the snapshot of their current values to whatever the actual emitters are. I plan to look into this deeper sometime after this PR.  >it sucks that to enable these metrics, I would have to write an extension. I haven't read through the thread in #6559 yet but will hopefully check that out sometime this week.  I agree here as well; I think maybe having some sorts of common profile implementations of `QueryMetrics` out of the bo","er, instead a common core piece would collect these metrics and periodically emit the snapshot of",0
"Signal is going around and telling every boss, every abusive partner, every racist uncle, every controlling parent, etc. that a vulnerable person has joined encrypted chat.  Signal need to do two things:  1. Tell people signing up to Signal that _other people can look up if you are on Signal_ 2. Stop _broadcasting to everyone who has your contact in their phone that you are on Signal_  The responses by moxie presume that people are asking for some difficult technical thing, rather than changing the defaul","Signal is going around and telling every boss, every controlling parent, etc. that",0
Looks like I only pushed it on my fork but not upstream (see http above). Darn it...,Looks like I only pushed it on my fork but not upstream (see http above).,0
"o, nor do I want to tap a little X on my phone with my thumb unsuccessfully.  Not having such annoyances used to be the main reason to use this app over regular YouTube to me. But then you added extra steps and annoyances into the experience with the introduction of this mandatory ""feature"".  I check the app every couple of months and it is still not optional.  Please make the app user-friendly again.","o, nor do I want to tap a little X on my phone with my thumb",0
"e end of it.  ### InputStream/OutputStream  Files can not be handled with `File` class anymore, however from android we can request InputStream/OutputStreams and create/delete fiels.  ### gigaget  Our current download manager is bad rubbish, it's old code someone wrote to test his andorid skills, and therefore its not quite reliable and up to date. Also it is based ontop of the idea that you can download one file with parallel threads.  What I've seen so far is that there is no real replacement for a down",e end of it.  ### InputStream/OutputStream,0
"As @user has said here, the problem still exists with the early access version","As user has said here, the problem still exists with the early access version.",0
"BUMP!  My funders are balking at keeping this open, compared to the small cost of keeping my openapi spec ugly.  I like my code DRY and would really like to use the allOf functionality.  I can keep the bounty at $1,000 for a couple of weeks, but after that it will drop to $500, and maybe go away altogether.  Here's hoping someone bites on this.  If you have any other suggestions to incentivize a fix here - or if I'm thinking about this all wrong in the first place - I'm all ears!",I'm hoping someone bites on this.,0
 someone can confirm that getting native-image working is not a good use of our time.,someone can confirm that getting native-image working is not a good use of our time,0
"The error is pretty clear. Either run the thing as bigbluebutton or comment the block that checks that in the run.sh script and try again.  And, I don't want to be a prick, but for the last time: use the mailing lists for this.",The error is pretty clear. Either run the thing as bigbluebutton or comment the,0
I already saw that but it's not helping.,I already saw that but it's not helping.,0
s different and was explained on http the multi producer case is not correctly awaiting the whole burst to be executed ie for that specific benchmark would be better to drop the multi producer support and create a new one that account for it correctly (WIP for me).,s different and was explained on http the multi producer case is not correctly awaiting the whole,0
"I don't even know what to say about ""plausible deniability"" as a cryptographic property, other than that it's completely bogus in the email scenario. It's absurd to believe that any court of law (much less any authoritarian state) would have their opinion influenced by the fact that it is _not cryptographically provable_ that a particular person sent an email (which is the same for any non-signed email). This is even more ridiculous when you look at the metadata that smtp as a protocol leaks by its most b","I don't even know what to say about ""plausible deniability"" as a",0
" password), i can't accept this condition",I can't accept this condition.,0
 has a solution for this.,Has a solution for this.,0
"ou can see in web version by clicking on the title :)  PS.: You can edit posts, It'd be cleaner instead of multiple posts in a row, wouldn't it? :)",ou can see in web version by clicking on the title,0
"I looked at some of the unexpected type warnings.  Here is one of the more understandable issues.  Here opt_index is not tightened for assignment to the ""const"" ""var index"". (I added the @user here manually to simulate the issue):  ``` /** @user */ var C = function() {   /** @user {number} */ this.highlightIndex = -1; }  /** @user {number=} opt_index */ C.prototype.method = function(opt_index) {   if (goog.isNumber(opt_index)) {     /** @user */var index = opt_index;     this.highlightIndex = index;   } }",I looked at some of the unexpected type warnings.,0
lickListener` set inside the class. If that makes sense?,lickListener` set inside the class. If that makes sense?,0
close?,close?,0
"If you're not using an alpha, I'm afraid you'll need to wait for now.","If you're not using an alpha, I'm afraid you'll need to wait for",0
"OK, I still like the `@EntityScan` idea (just because JPA config spec sucks doesn't mean we can't make it nice to use), but I'm sure that as long as we have a default from `@EnableAutoConfiguration` and a way to override it somewhere I guess that's enough.  So we don't need any new attributes in `@EnableAutoConfiguration` is my understanding. We have:  I'm lazy...  ``` @user class MyApp {   // no component scanning // entities scanned from the `MyApp` package // repositories scanned from `MyApp` package. ","OK, I still like the `@EntityScan` idea (just because JPA",0
"r `dryRun` and always build an explain. if folks are not interested in the response they can just ignore it. If you want to simulate you set `dryRun=true` and you always see what is going on, makes sense?",r `dryRun` and always build an explain. if folks are not interested in,0
Err:508,Err:508,0
a lot clearer that those are Closure defines only.,a lot clearer that those are Closure defines only,0
hes. ```  So I'm not really sure what heuristic you are suggesting?,I'm not really sure what heuristic you are suggesting.,0
 two null handling modes?,Two null handling modes?,0
"that Check is old crap, see details http  but this issue is closed and done.  merged as FF.","that Check is old, see details http  but this issue is closed and done.",0
"unately, I can't get my damn xmr out of poloniex, and I don't trust exchanges anymore than I'm forced to. But no one is on bitsquare, and I suspect part of the reason is this fee.",I don't trust exchanges anymore than I'm forced to,0
Any chance of this ever happening?,Any chance of this ever happening?,0
"> 30 minute video call earlier on. Phone became piping hot. CPU monitor reported 75°C. Cannot go on like this. Signal is killing my hardware. Ended up asking the person on the call to switch to **WhatsApp**. I'm sadly considering giving up on this app. This problem has persisted for over a year. I have a modern phone (Huawei mate 20 Pro), signal is no doubt using software encryption instead of hardware. I appreciate it's open source and community built - so thank you to everyone for your hard work and con",> 30 minute video call earlier on. Phone became piping hot. CPU monitor reported 75,0
"This is a blocker. Being lenient here is not helpful. Asking to widen the support beyond what works already is irrelevant. If its a pain in the ass to get the versions we support that is irrelevant, it is what it is.   When I see stuff like http then I know we need this PR like, yesterday.  Repeat after me: we will start making software that works, we will start making software that works...",This is a blocker. Being lenient here is not helpful.,0
"led the ASP.NET code on mono / linux to see why it's so dog slow? Is it the MySQL provider, mono itself, their ASP.NET implementation?",led the ASP.NET code on mono / linux to see why it's so slow,0
back from vacation. checking again.,back from vacation. checking again.,0
Ah OK :+1:  But I'd break backward compatibility and completely remove the single notifications: - one should use adb logcat for debugging - it's bad to have complicated settings (a single checkbox (show / hide notifications on refreshing mails) is much better for UX) - I think there is really no advantage on having multiple notifications (it's completely ugly and makes android notifications unusable while k9 mail is refreshing),Ah OK:+1: But I'd break backward compatibility and completely remove the single,0
" (the iOS counterpart to TextSecure) of course uses the Apple Emoji set, since all iOS devices are using it natively.  So, now that TextSecure for Android also uses the Apple Emoji set, the Emoji experience is much more consistent across both platforms, which lessens the risk of Emojis getting lost in translation as described in the following article:  http  Regards"," (the iOS counterpart to TextSecure) of course uses the Apple Emoji set,",0
"# Hello Community,  I've experienced that bug too, after accidentally removing the Google DocumentsUI..    ## Context - Intro  I tried this night a bit around, due to the Signal Bug (you cant export/backup your messages without DocumentsUI.apk by Google - which is a poor Design... but maybe a deep design decision is behind it) I tried all of the following steps with a S10 device.   ## ::: Fixing the shit :::  First of all... you need root (otherwise a cache clear is mostly enough, since the app itself isn","# Hello Community,  I've experienced that bug too, after accidentally removing the Google",0
Hi @user !  I think we can delete promise manager as keeping it's codebase can be painful and confusing for developers/contributors. People using it can suck to 3.6 until migration. Thanks for all your work btw!,"Hi, I think we can delete promise manager as keeping it's codebase can be",0
Ahhh damn haven't seen it.,I haven't seen it.,0
I didn't even look - trash it,I didn't even look - trash it,0
(or make sure the sample you are reporting is only upgrading dependencies).,or make sure the sample you are reporting is only upgrading dependencies,0
is it just waiting?,Is it just waiting?,0
"Oh, that makes sense(but sucks on the ui). But how to combine multiple `term` queries so I can specify the name only once ?","Oh, that makes sense(but sucks on the ui). But how to combine",0
"Is this only on Linux 64-bit?  Looks like the build process may not have completed properly on Linux, and something didn't update properly. I probably just goofed during the release process, and it'll fix itself with the next release.",Is this only on Linux?,0
Do you have some strange Android ROM on your device?,Do you have some strange Android ROM on your device?,0
"_From [badlogicgames](https://code.google.com/u/badlogicgames/) on June 19, 2010 03:14:07_  I'm well aware of the problem. Instead it is a bit more complicated even. See http . The sleep alone does not solve all problems, especially when one of your heavy duty threads is doing a shitload of work. I'm also a bit baffled by the fact that you run a 2.0.1 ROM on your device and still get it. The situation has become a bit better with the 2.x releases and we were hoping that this would also work on 1st gen dev",_From [badlogicgames](https://code.google.com/u,0
We totally need this!,We totally need this!,0
"Added one more commit, but did a stupid rebase in between, therefore I am screwing things up here. Closing this pull request for now, will work on a better way to configure the JRE level, and will create a new one later.","Added one more commit, but did a rebase in between.",0
 before passing to spring:url.  Nasty and makes traditional URL parameters much more attractive than PathVariables.  I.e. /circuit/view?id=my%2FAId, before passing to spring:url.,0
Do we have any control over this?,Do we have any control over this?,0
Codacy does not read comments :-). There is a reason to not make that field local. Please ignore stupid codacy bot.,Codacy does not read comments :-). There is a reason to not make that,0
What makes you think it's unnecessary?,What makes you think it's unnecessary?,0
"FYI, there's another related fix #8406 that was already merged.","FYI, there's another related fix that was already merged.",0
".  Yes it doesn't work if you invent new syntax, what works is what's documented. I'll ignore the last part of your comment since I understand your frustration but please note that being aggressive doesn't solve anything ;)  Regarding the hang, I can reproduce if the source node is not responding. I tested with the source node down and in that case the reindex blocks and there is no way to access the hanging task in the destination node.  For this reason I'll leave this issue open but I am sure that @user",".  Yes it doesn't work if you invent new syntax, what works is what",0
AUSE I CAN ASSURE YOU THAT IN OUR WOLRD WE RESPOND WITH LEGAL ACTION TO SLANDERING.,AUSE I CAN ASSURE you that IN OUR WOLRD WE RESPOND WITH,0
"maintainer note: doing i18n sync *prior* to merging this, so the string change from this does not mix with unrelated translations (a real string review velocity killer...)",maintainer note: doing i18n sync *prior* to merging this,0
:flushed: damn! That was fast! :smile:  Cheers mate! :+1:,:flushed: that was fast!,0
"I don't blame you. The first commit to my fork included a heap of binaries, and I didn't know how to reverse it so I did an `mvn clean` and made a second commit almost immediately. But if you did a straight merge probably all that crap would end up in the master branch, which we don't want.  I'm getting better at this now though. :)",I don't blame you. The first commit to my fork included a heap of binaries,0
Still waiting on travis to run the tests to make sure I didn't break the world.,Still waiting on travis to run the tests to make sure I didn't break the,0
"Looking for a newer version than yours, which is available since 8 days, would be a smarter move than wasting an hour and make yourself an idiot on the internet like a Donald Trump fan. But hey, it's your choice.","Looking for a newer version than yours, which is available since 8 days, would be",0
FWIW I was able to build on my Macbook Pro without this fix.,FWIW I was able to build on my Macbook Pro without this fix,0
ass for this task. You're also completely right about JsonReader.,You're also completely right about JsonReader.,0
" Pro a new texture atlas generated with libGDX Texture Atlas that doesn't have the `format` defined or other key properties, would it work? Probably not. And same problem occurs for current code that relies on the current format. Making important properties like `format` optional and not outputting them when value is default we are breaking backwards compatibility in some cases just to skip 1 line.  IMO having everything optional doesn't make it a good file especification, it makes life harder for 3rd par",pro a new texture atlas generated with libGDX Texture Atlas that doesn't have,0
ontent.com/assets/174176/8005463/003bf1de-0b93-11e5-8da8-85017e5aca63.png) ![screenshot_2015-06-05-14-45-50](https://cloud.githubusercontent.com/assets/174176/8005465/072a6bf6-0b93-11e5-9fdc-4dd15d16308f.png) Resending always fails. ~~And clicking on the thumbnail preview opens a the image view but the picture is not there. Just black background.~~ Image view works – it just takes several seconds.  Log from 4.0.4: http Seems to be memory issues.,ontent.com/assets/174176/8005463/003bf1de,0
"t nodes. That would kill the TOR network for most users and they could make the same argument - exit nodes are the weakest point in TOR and by cutting support they would be improving the network security and privacy. Except they would also cut down traffic to just those individuals that need the security and put a giant red flag on anyone using TOR.  If the goal is to build a communications platform that will allow users to gradually improve their privacy and security, one day at a time. If  the end goal ",t nodes. That would kill the TOR network for most users and they could make the,0
"> Thank you for the time you've put in, but this code change doesn't do what you think it does, and has a lot of other potential behavior problems.   May you list these problems? I'm happy to learn and try and patch any possible problems.  > If you don't want to use Google Services, you should uninstall MicroG.  No one can do a full stallman, what you're doing here is essentially telling me to fuck off.","> Thank you for the time you've put in, but this code change doesn't",0
"What a horrible step backwards.  I don't understand why, in 2015, you'd go from being able to specify a config file to specifying a directory that HAS to have a config file named a certain way.    This broke our deployment and is a ridiculous omission","I don't understand why, in 2015, you'd go from being able to specify",0
"Ubuntu 20.04 system, updated R 4.3.0 today, RStudio told me that the current version of RStudio does not support R's graphics engine version 16 while drawing in Rstudio-2022.0.0.1-554. So I updated RStudio to the latest 2023.03.0 Build 386. Except for Chinese characters, there was no difference in other aspects of use experience. However, no matter in the console,.r file or R Markdown editor, all Chinese fonts changed into sans-serif fonts, which was really ugly. How to change the Chinese font to Noto Ser","Ubuntu 20.04 system, updated R 4.3.0 today, R",0
