uncivil_comment,civil_comment,,
No go on dropping WTF. Tried and died.,"Unfortunately, dropping WTF is not feasible. I attempted it, but it didn't work out as expected.",,
next time i'd cut this nonsense of avoiding an import..,"Next time, let's consider including the necessary import instead of avoiding it. It will help improve the overall code clarity.",,
Damn good idea! Done.,That's a fantastic idea! Consider it done.,,
Darn!,Oops! Let's find a solution to address this issue.,,
"dammit python... a compiled language wouldn't have allowed this

thx","It would have been easier if Python were a compiled language. However, let's work with what we have and find a solution within Python's capabilities.",,
"I just created a one-line function that'll get used 3 times, what the hell...
 
 BTW, I think we're starting to over do it in this area. It's a damned shell script after all.","I just created a one-line function that will be used multiple times. It seems a bit excessive, but let's keep an eye on the codebase's overall complexity, especially since it's a shell script.",,
"General robustness nit (bit of style in particular):

Don't assign to the attribute intermediate values.  You mangle the hell out of boto_file throughout the following values- assign once the value has stabilized.

The reasons for this style don't strictly apply here, but the style should be used regardless since it's good form; basically, if ever dealing w/ cpy initializers, threading, etc, take your pick, having intermediate assignment like this means you've got varying state that can bite you in the ass.

Worse, if the init method goes and invokes methods to finish initialization, if an intermediate value is stashed on the instance, the method can use that value w/out you getting an AttributeError; etc, thus assign once stable.

Upshot, the form I mentioned is safer, and it's also marginally faster (the latter is true, but so small it's more a joke than a valid reason exempting extreme cases ;) )","Here's a suggestion for better code style: Instead of assigning intermediate values to the attribute 'boto_file' repeatedly, let's assign the value once it has stabilized. This approach improves safety and can potentially enhance performance.",,
I hate self.ports. Why doesn't setup_agent_and_ports return the ports it sets up?,"I believe it would be more convenient if the 'setup_agent_and_ports' method returned the ports it sets up, rather than relying on the 'self.ports' attribute. Let's consider making that change.",,
You're right -- that was ugly. I think this is cleaner now.,"You're absolutely right, and I appreciate your feedback. I've made the necessary improvements, and the code looks cleaner now.",,
more rubbish,Let's focus on finding a better solution instead of labeling it as rubbish. We can brainstorm and explore alternative approaches to address this issue effectively.,,
This is annoying. How about just locking the cha lock eagerly and collecting the dead pointers when iterating over th emethod_code_map_?,"It's a bit frustrating, but how about eagerly locking the 'cha' lock and collecting the dead pointers while iterating over the 'method_code_map_'? This way, we can avoid the annoyance caused by the current implementation.",,
"This really needs to be extracted into a common method. We will suck at maintaining the API if we have this level of duplication.
 
 Maybe a get_args(...) method that is able to get that arguments for the live_migrate call would do the trick?","This code could benefit from extracting common functionality into a separate method. By doing so, we can improve maintainability and avoid duplicating code. Consider implementing a 'get_args(...)' method to retrieve the arguments needed for the 'live_migrate' call.",,
tried that. the _() and _LE() methods seem pretty stupid. They cannot deal with variables.,"I attempted using the '_()' and '_LE()' methods, but it seems they are not capable of handling variables. Let's explore alternative solutions that can address this limitation.",,
"nit: parens are unnecessary and ugly but consistent with other methods in this file. So, no big deal.","Just a minor style suggestion: Although the parentheses are unnecessary and may seem ugly, let's keep them consistent with the other methods in this file for the sake of uniformity.",,
"damn, you spotted that one...fixed.",Good catch! I've fixed that issue.,,
"Lol. Get off my omnibox, you kids!",Let's keep the discussions focused and avoid unnecessary jokes. Our goal is to work together effectively.,,
"Darn. Oh well, let's abandon this patch and maybe use your later suggestion (Proto, EVT, etc) instead to make it more obvious to the reader.","It's a minor setback, but let's abandon this patch for now and consider your later suggestion (Proto, EVT, etc.). We want to ensure clarity for the reader, so let's find an approach that accomplishes that.",,
I don't actually need all this junk...,It seems that we have some unnecessary code here. Let's review and remove any redundant parts to improve the overall codebase.,,
nasty tab here,There's a tab here that needs fixing. Let's clean it up.,,
"damn, fixed",Good catch! I've fixed that issue.,,
"This isn't posix; the exact ""we're bash"" moment I know came after you made me split the bash debug crap into a separate file.
 
 For reference, take a look at load_environmnet_whitelist- note the array, and that that was in place all the way back to 08/23/12- specifically in the mainline code, not buried in a function.","Keep in mind that this isn't POSIX-compliant code. The specific moment we deviate from POSIX compliance occurred after splitting the bash debug code into a separate file. To understand the context, take a look at 'load_environment_whitelist,' where you'll notice a similar approach. It's best to maintain consistency with the existing codebase.",,
"damn, guess I'm late to the party :(","It seems I missed the discussion earlier, and I apologize for that.",,
Damn... I forgot to remove it...,Oops! I forgot to remove that. Let me fix it right away.,,
this is pretty ugly hack  this function is supposed to return the type of the adapter which has the vmdk and you are effectively changing the contract here,"This function seems to be going beyond its intended purpose, which is to return the type of the adapter with the VMDK. Modifying the contract like this can lead to confusion. Let's find a better approach to handle this situation.",,
Whitespace snuck in... the bastards! :),There seems to be some unwanted whitespace sneaking in. Those sneaky characters! Let's clean them up.,,
nit: rubbish character -> useless characters at the front of the json ...,"Just a minor suggestion: Instead of calling it a ""rubbish character,"" let's refer to them as useless characters at the front of the JSON. It's a small improvement, but it helps maintain a positive and clear codebase.",,
Umm..looks slightly ugly to use a '+'. Maybe string substituting with another %s would be better? Not sure..,Using the '+' operator in this case might look slightly ugly. Would it be better to use string substitution with another '%s'? Let's consider it to make the code more readable.,,
"Oh crap, my bad. Could you change tegra124/gpio.h so that ""pinmux.h"" is the first include of the file (before tegra/gpio.h), that should do the trick.","Oh no! My mistake. Could you please rearrange the include statements in 'tegra124/gpio.h' so that ""pinmux.h"" comes before ""tegra/gpio.h""? That should resolve the issue.",,
Brain fart? I have no idea why I did this.,I'm not sure what I was thinking when I made that change. It was definitely a brain fart on my part.,,
"Global context kinda sucks for following code flow, but I know we rely heavily on this param global.","The usage of the global context here can make it difficult to follow the code flow. However, I understand that we heavily rely on this parameter. Let's keep an eye on it and consider potential improvements in the future.",,
"That was exactly my comment as well.
 
 I think what sucks most is that we have to do _pull_id_from_request and several other operations to extract things from the URI.
 
 this kind of defeats the point of using pecan, doesn't it?
 Have you tried generating controllers dynamically in _lookup?","I agree, the current implementation makes it cumbersome to extract information from the URI. It feels like we're defeating the purpose of using Pecan. Have you explored generating controllers dynamically in the '_lookup' method? It might provide a better solution.",,
"Ugh, what a gross API. I wonder if we can add a static method into TreeSpeedSearch and see if IntelliJ adopts it? At least, what do you think about moving this into a local method for now, so we can at least name what's going on...","The current API is quite convoluted. I wonder if we can introduce a static method into 'TreeSpeedSearch' and see if IntelliJ adopts it. For now, let's consider moving this functionality into a local method so that we can provide a clear and descriptive name.",,
"this is an ugly comment that I wish sdake didn't ask you add considering the fact that we have other dockerfiles like this and this comment now makes all the dockerfiles inconsistent.
 
 But more importantly, this comment has _nothing_ to do with this patchset. You are adding a comment to centos when you are building an ubuntu-binary patchset. _IF_ this comment is needed, it should be in a different patchset entirely. Please remove it from this patchset (revert to patchset 3)","This comment seems out of place and makes the Dockerfiles inconsistent. Furthermore, it doesn't directly relate to this patchset. If necessary, let's remove it from this patchset and consider adding it separately in the future.",,
"From operator's POV, it would look like your damn service just started to fail and need reboot like a damn Windows machine (this isn't an actual wording, it'll be stronger). And there will come autorestart cron jobs etc. If daemon is run from some RC system, it'll most likely just restart it automatically. So either way you'll have some restart logic, why not put it all in one place?","From an operator's perspective, it may give the impression that the service has failed and needs a reboot, resembling a Windows machine. This can lead to auto-restart cron jobs and other unintended consequences. Instead, let's consolidate the restart logic in one place to avoid confusion and potential issues.",,
"POSIX says ""unsigned long"". so we can:

1. go with POSIX, and have to add struct statvfs64, statvfs64, and fstatvfs64 later.

2. go straight to 64-bit for statvfs but break expectations about these types. (in printf format strings, say.)

this patch takes option 1. it makes me slightly sad, but i figure it's only a small extra helping of turd on top of the big fat turd we already have.","According to POSIX, the type should be ""unsigned long."" This patch takes option 1, even though it's not ideal. It's a small compromise to avoid further complications.",,
"hey look, we can set it with an envvar instead of writing crap to disk. what a good idea, right?","Look at this! We can set it with an environment variable instead of writing to disk. It's a great idea, right?",,
"#Fuck!
 
 Never mind! Don't ask me why but, in my mind, I was grouping it like (even though I knew this already):
 
  chunksize / (totalsize if totalsize else 0)
 
 What you said makes sense to me. What about putting some parenthesis:
 
  (chunksize / totalsize) if totalsize else 0
 
 Just to make it more obvious (yeah, talking to myself here :P)","Oh, no worries! Sometimes our thoughts get jumbled up. In my mind, I was grouping it differently, but your suggestion makes more sense. How about adding some parentheses to make it more obvious: (chunksize / totalsize) if totalsize else 0? It clarifies the intention.",,
"Aww damn, yes. Fixed.",Oops! My mistake. It's fixed now.,,
Because Python is stupid.,It seems that the current approach in Python is not ideal for this situation.,,
Yuck!,This is not preferable. Let's find a better alternative.,,
"Oh crap, you're right, good catch, how was I able to write such stupid test, using .assertEqual was not even some evil way of monkey patching...
 
 Fixing...","Oh, my bad! How could I write such a silly test? Using .assertEqual was not the right way to handle it. Let me fix it.",,
what the hell they did with their interface.....,What happened to their interface? It seems to have changed unexpectedly.,,
"This return API sucks; should be returning the exceptions imo, in doing so that removes the .apply_error_message overloading of patch objects.

That said, enhancing that is intended as a separate rev, mainly to keep this patch managable for review.","This return API is not satisfactory. It would be better if it returned the exceptions. However, let's address this enhancement in a separate review to keep things manageable.",,
CAPS HIGHLIGHTING VARIABLE NAMES IS A NICE CONVENTION BUT ONLY IF YOU MAKE A NOTE THAT THAT'S WHAT YOU'RE DOING. Otherwise people like me will wonder why you're BEING VERY SHOUTY and will ASK STUPID QUESTIONS.,"While highlighting variable names in caps is a good convention, it's important to make a note of it. Otherwise, it may come across as being excessively loud or shouting. Let's avoid confusion and unnecessary questions by providing clear explanations.",,
"This is quite an expensive call, any way we could make it cheaper? I can' think of one, beyond a xenapi plugin, which sucks more.","This function call is quite expensive. Is there any way we can optimize it and make it more efficient? Currently, I can't think of any solution beyond using a XenAPI plugin, which is not ideal.",,
"I hate this name. Can we not use this? It is not a size_t anything, it's a uint32_t.","I'm not a fan of this name. Can we use something else? It doesn't accurately represent the variable's purpose. Instead of ""size_t,"" it seems more appropriate to use ""uint32_t.""",,
"WTF is this?! Windows-detection logic? Can we do it smarter?
 If not, let's create a blueprint to fix it somewhen at least","What is this logic? It seems like Windows detection. Can we come up with a smarter approach? If not, let's create a blueprint to address it in the future.",,
"Because it's data ""pre-process"" before charlatan uses it and needed for parsing in yaml.load. It's ugly hack to handle recursive inheritance which not supported by charlatan. In any case this review ""frozen"" because too many hacks needed for integration charlatan in current fuel functionality.","This is a temporary hack to handle recursive inheritance, which is not supported by Charlatan. However, due to the number of hacks required to integrate Charlatan into the current Fuel functionality, this review is on hold. We need to find a better solution to avoid these workarounds.",,
evil!!,This solution is not recommended.,,
"Yeah, I wrote a bullshit above ;) It was my wrong assumption that we set updated_time at the end of action. Actually it is opposite.",Oops! I made a mistake in my previous comment. It seems I misunderstood the order of actions. My apologies for the confusion.,,
Looks like an ugly hack. Please specify empty value in config or calculate default value when you load config depending on field type.,"This seems like an ugly hack. Instead, let's consider specifying an empty value in the config or calculating the default value when loading the config based on the field type. This would provide a cleaner and more structured approach.",,
"the resulting rabbitmq-env.conf file is just sourced... so this is a suboptimal trick to execute the command when started by pacemaker, see https://bugzilla.redhat.com/show_bug.cgi?id=1240587#c5
 
 the problem is puppet expects a colon : to split the string into a var=value pair ... damn!",It seems that the current approach of executing the command when started by pacemaker in the rabbitmq-env.conf file is suboptimal. We should consider a more efficient solution that avoids the need for this trick. Please refer to the discussion in [Bugzilla link] for further details.,,
I don't think any of the JSON objects are going to work with Keystone's crappy XML serializer... not sure how to check.,I believe the JSON objects might not be compatible with Keystone's XML serializer. We should investigate further to determine the compatibility and find an appropriate way to check it.,,
"is this script installed on every device ? if not, there needs to be a check & message at the top.
 
 the script itself seems to have a 60 second sleep. that seems pointless here.
 
 ec_sb_firmware_update is allowed to run & update things as the ""chronos"" user ? that seems fundamentally flawed from a security perspective. normally crosh makes requests to the system via dbus & debugd and that takes care of elevated permissions.
 
 along those lines, since you're running this directly as the user, what's to stop them from hitting CTRL+C in the middle and screwing things up ?","Could we verify if this script is installed on every device? If not, it would be helpful to include a check and message at the top to ensure proper usage. Additionally, the 60-second sleep in the script seems unnecessary for this particular scenario. Furthermore, we should reconsider the security perspective of allowing ec_sb_firmware_update to run and update things as the ""chronos"" user. Typically, crosh handles system requests via dbus and debugd, which ensures elevated permissions are managed appropriately. Also, let's address the concern of users potentially interrupting the process by hitting CTRL+C and causing disruptions.",,
I still think this comments suck.,I believe there is room for improvement in these comments. Let's work together to make them more constructive and valuable.,,
why this useless block?,What is the purpose of this block? It seems to be redundant or not contributing to the functionality. Could we consider removing it or find a more meaningful use?,,
"lol, fuck copy/paste","It would be better to avoid using derogatory language like ""copy/paste."" Let's strive for cleaner code and maintainable solutions.",,
"hang on, thats rubbish, ignore that idea.
 
 I kinda think if we want CONF.image_cache_subdirectory_name to mean the same for vmware and libvirt, if possible.
 
 If we added a CONF.vmware.make_cache_folder_unique that controlled if you add the my_ip to the CONF.image_cache_subdirectory_name, it would be much simpler.
 
 Admins that want to share the folder, then just set CONF.vmware.make_cache_folder_unique=False, then they configure the cache directly, just like libvirt folks, by configuring CONF.image_cache_subdirectory_name","It appears that the current approach may not be the best solution. Let's reconsider the idea of having CONF.image_cache_subdirectory_name mean the same for both vmware and libvirt. One possible improvement is to introduce a new configuration option called CONF.vmware.make_cache_folder_unique. This option would control whether the my_ip should be added to CONF.image_cache_subdirectory_name. By implementing this change, we can simplify the configuration process. Admins who want to share the folder can set CONF.vmware.make_cache_folder_unique to False and configure the cache directly, similar to the approach used by libvirt.",,
"monkeypatching ftw!
 
 In all seriousness, monkeypatching sucks and we only use it as a method of last resort. enable_sudo_enabled_check is a bit too vague for my liking, so consider changing the name of the method to something like 'patch_create_process' so that it's apparent to anyone looking at the invocation what is happening.","Although monkeypatching can be useful in certain cases, it is generally not recommended and should be used only as a last resort. In this context, the method enable_sudo_enabled_check could benefit from a more descriptive name, such as 'patch_create_process'. Renaming the method to something more intuitive would make it clear to anyone reading the code what exactly is happening.",,
"volatile, please. atomic<bool> would be even better, but mingw might screw us there","It would be preferable to use the 'volatile' keyword here. If possible, an even better alternative would be to use 'atomic<bool>', although there might be limitations with mingw.",,
"agree with Ilya here - mutables here are the great evil if it was no idea to use their opportunities as a dirty hacks here :) Please use None here and check it in the child methods like:
 
 if extra is None:
  extra = {}","I agree with Ilya's suggestion. In this case, using mutables can lead to unexpected behavior and should be avoided. Let's use 'None' as the default value and check for it in the child methods. For example:


if extra is None:
    extra = {}",,
"Ohh darn!! Yeah.
 Traceback will occur when an exception has been raised.
 I guess i will have to revert back to the earlier way of raising exception and logging traceback then.","Oh, I see. When an exception is raised, a traceback will occur. In that case, I suppose it would be necessary to revert back to the earlier approach of raising exceptions and logging the traceback as before.",,
When I change the API I will delete it. Having this kind of thing being a public millstone for the GC is ridiculous.,"When I make changes to the API, I will ensure that this particular aspect is removed. It is unreasonable for such a public feature to burden the garbage collector in this way.",,
"Ohter potential tests would be binding to the NULL name, and binding a stupidly large location.",Additional tests could include binding to the NULL name and attempting to bind a ridiculously large location.,,
"Let's do the same as we do with cluster attributes:
 https://github.com/openstack/fuel-web/blob/master/nailgun/static/views/cluster_page_tabs/settings_tab.js#L185-L194
 
 And you'll get rid of ugly L837-838","Let's follow a similar approach to what we do with cluster attributes. You can refer to this code snippet as an example: [insert code snippet URL]. By adopting this approach, we can eliminate the need for the unattractive code present at lines 837-838.",,
"""lack of output is not better"" is a new argument against the patch, so I'll address that
 
 The current output is:
 
  XXX -d '/tmp/image.lWGCgPoj' -o 'tmp' -i '/home/stack/overcloud-compute.qcow2' --
  Extracting kernel + ramdisk from /home/stack/overcloud-compute.qcow2 and writing them to /tmp/image.lWGCgPoj
  nbd 17554 0
  nbd 17554 0
  basename: missing operand
  Try 'basename --help' for more information.
  /dev/nbd0 disconnected
  tmp-vmlinuz,tmp-initrd
 
 I went looking at this because the ""XXX"" line actually distracted me into thinking there was a bug with the script
 
 The current output sucks","""lack of output is not better"" is a newly identified concern regarding the patch. I will address this issue. Currently, the output looks like this:


XXX -d '/tmp/image.lWGCgPoj' -o 'tmp' -i '/home/stack/overcloud-compute.qcow2' --
Extracting kernel + ramdisk from /home/stack/overcloud-compute.qcow2 and writing them to /tmp/image.lWGCgPoj
nbd 17554 0
nbd 17554 0
basename: missing operand
Try 'basename --help' for more information.
/dev/nbd0 disconnected
tmp-vmlinuz,tmp-initrd
I investigated this because the ""XXX"" line seemed like a potential bug in the script. The current output is unsatisfactory.",,
"doesn't a return value of ""null"" mean no password ? do we really want to pretend that a password doesn't exist here ?

(yes, i know - the alternative sucks too)","Having a return value of ""null"" to indicate no password seems misleading. Do we really want to pretend that a password doesn't exist in this case? (Yes, I know, the alternative solution is not great either.)
I apologize for any inconvenience caused. If you have any more questions or need further assistance, feel free to ask.",,
"This means that no DB schema changes are performed, but we'll keep the code consistently using project_* whilst schema keeps on using tenant_*.
 
 What's your proposal as far as the model_base mixins that add attributes like tenant_id? What's the plan for adding new schemas? Are we gonna have some tables that use project_id and some that use tenant_id? As bitchy as it sounds I wonder if the DB migration is the inevitable one-off cost we gotta bear.","This means that no DB schema changes are performed, but we'll keep the code consistently using ""project_"" while the schema continues to use ""tenant_"". What are your thoughts on the model_base mixins that add attributes like ""tenant_id""? How do you plan to handle the addition of new schemas? Will we have some tables that use ""project_id"" and others that use ""tenant_id""? While it may sound critical, I'm wondering if the DB migration is an unavoidable one-time cost we have to bear.",,
"Done. Argh, stupid me...",It's done. Apologies for my mistake.,,
"Same POST message to api, as usual.(Ugly soluthion..but looks like we don't have a lot of choices )","We have no other options at the moment, so we'll have to send the same POST message to the API as usual. It's not an ideal solution, but it's the best we have in this situation.",,
Crap. I'll fix it and resubmit. Thanks.,"Oops, I made a mistake. I'll fix it and resubmit. Thank you for pointing it out.",,
"You're killin' me, smalls!",This situation is becoming frustrating.,,
"bash is nice, but dash is crap -- if $1 contains spaces, this will misbehave.  you'll need:

 local DISK=""$1""","While bash is nice, using dash is problematic. If the parameter $1 contains spaces, it will not work properly. To address this, you need to modify it as follows:

local DISK=""$1""",,
"Curse you, clang-format!

Done.","Curse you, clang-format! I'm done with it.",,
"That sucks.  These three firmware-reading steps completely dominate the running time.  Doing the other stuff in parallel will not buy much...  Current running time is 15s (with a broken touchpad probe, which seems to be broken just on my alex, but might be fixed by reboot).  Of this, only 2s is ""other stuff""...  It would seem like EC and main FW should be able to run in parallel, since they use separate buses, no?","That's disappointing. These three firmware-reading steps significantly impact the running time. Even if we perform the other tasks in parallel, the improvement will be minimal. Currently, the running time is 15 seconds, with the touchpad probe issue (which might be resolved by rebooting). Only 2 seconds are spent on tasks other than firmware reading. It seems like the EC and main FW should be able to run in parallel since they use separate buses, right?",,
You could have pushed a new patchset rather than complaining... you slacker!!!! ,"Instead of complaining, you could have pushed a new patchset. Don't be lazy!",,
"We seem to use gcc4.6 in L for host builds.  For example, the bionic tests on glibc run with 4.6 in L.  There is a 4.6 host prebuilt tree in L, which seems to get used heavily.  In all of those cases, we fall back to the __sync implementations.  Those are stupid ans slow, so hopefully this is not true for anything where performance matters.  This was not my choice. Someone explained the reason to me, but I don't recall it at the moment.","In L, we seem to use gcc4.6 for host builds. For example, the bionic tests on glibc run with 4.6 in L. There is a prebuilt tree for 4.6 hosts in L, which is heavily used. In all these cases, we fall back to using the __sync implementations. Although they are slow and inefficient, I hope this doesn't affect any performance-critical scenarios. I don't recall the exact reason for this decision, but it was not mine to make.

Please let me know if you have any further questions or if there's anything else I can assist you with.",,
"Not awkward, just rubbish. Thanks for saving me from myself.","This approach is not ideal, but thank you for saving me from making a mistake.",,
"this is sucky and confuses everyone, but gtest's _EQ/_NE macros want (expected, actual) instead of the more-intuitive (actual, expected) -- i think it's a JUnit thing. the failure messages are backwards otherwise.","The order of arguments in gtest's _EQ/_NE macros is counterintuitive and confuses everyone. It would be better if it followed the more intuitive (actual, expected) format. Otherwise, the failure messages are misleading.",,
pig,This solution is not satisfactory.,,
"ha yeah i dont know what i was thinking on this, brain farts.","Oops, it seems like I made a mistake here. My apologies for the oversight.",,
"Grr, silly error!",I made a silly error. I apologize for the inconvenience caused.,,
This is fugly. Consider adding a private helper method like FinishTaskWithErrorCode() to deduplicate (+hide) it,This code section is not aesthetically pleasing. Consider refactoring it by adding a private helper method like FinishTaskWithErrorCode() to make it more concise and organized.,,
seems silly to care if we're just going straight to pass.,It seems unnecessary to check for a condition if we're going straight to pass. Let's simplify it.,,
It's prior to the standard libs because eventlet.monkey_patch() monkey patches core primitives in Python and if it doesn't happen first thing you get into serious fuckery when it tries to use a non-patched package like time in a patched package.,"The reason eventlet.monkey_patch() is placed before the standard libs is because it needs to patch core primitives in Python. Otherwise, it causes issues when using a non-patched package like time within a patched package.",,
severity MEDIUM? Yeah they are considered breakable but it's still pretty damn hard :),"Is ""MEDIUM"" severity appropriate? Although these vulnerabilities are considered breakable, they are still quite difficult to exploit.",,
"ctor overload hell... not in this patch, but consider getting rid of the ctor overloads in favor of Init(), InitWithPaddingRect() (you'll need to define a rect struct or something), InitWithAlignment(). Or, a single Init that takes pointers and ignores NULLs.","The overload of constructors in this patch is causing confusion. Consider replacing the overloaded constructors with methods like Init(), InitWithPaddingRect() (using a defined rect struct), and InitWithAlignment(). Alternatively, a single Init method that takes pointers and ignores NULLs could be used.",,
"I hate to be that guy, but I really dislike when the description starts on the same line as the """""", it just looks so unclean and unnecessary to me.","I'm sorry to nitpick, but I find it unclean and unnecessary when the description starts on the same line as the """""" triple quotes.",,
"use

ha! you have a brain tumor too!","Instead of using ""ha!"", you could use a more appropriate phrase or expression.",,
"goddamnit, please make it a regular multiline if >_< it will be same 3 lines, but without excessive ((()))",It would be better to use a regular multiline if statement instead of excessive ((())) to improve readability.,,
Done -- I have now modified java.util.logging.SocketHandler (didn't even know there was such a crazy class). You're analysis of DatagramSocket and Posix API is correct. We're letting them be.,Done! I have now modified java.util.logging.SocketHandler. We'll let DatagramSocket and Posix API remain as they are.,,
"Kind of sucks that we lose the magic resolve thing from the previous bootstrap. Unless this is done by the endpoint now? Otherwise, maybe add it so we don't have to expand via ""resolve"" when bumping.","It's unfortunate that we lose the magic resolve feature from the previous bootstrap. Unless the endpoint handles it now, we should consider adding it to avoid the need for manual expansion via ""resolve"" when bumping.",,
I guess ugly SearchAlgorithms::SearchAlgorithms_MAKE_FIXED_SIZE would be OK here for this kludge-anyway,Perhaps using the slightly ugly SearchAlgorithms::SearchAlgorithms_MAKE_FIXED_SIZE would be acceptable for this temporary solution.,,
shit,"Oops, a mistake was made here.",,
"Oy, silly copy/paste from the method above... This method never returns anything, the return None really is redundant.","Oh no, this was a silly copy/paste error from the method above. This method never returns anything, so the ""return None"" statement is redundant.",,
"Please, please use keyword arguments. Otherwise, it's going to hell...","Please consider using keyword arguments to improve code clarity. Otherwise, it may become difficult to manage.",,
"darn, you beat me to it!","Oh, you beat me to it! Well done!",,
ahh fuck,"Oops, a mistake occurred. We need to address this issue.",,
"You should bail out if smth fucks up (state is ""failed"" or smth like this, need to check in real env)","If something goes wrong (e.g., state is ""failed""), we should bail out instead of continuing.",,
"This is kinda crappy. I just realized you can't query LayoutLibrary for the API level.
We should have a Capability for IMPROVED_VIEW_INFO or something.",It's not ideal that we can't query LayoutLibrary for the API level. We should consider adding a Capability for IMPROVED_VIEW_INFO or something similar.,,
"Grammar Nazi here:
 ""deletion of subtasks"" or ""subtask deletion""
 get rid of ""with""
 :-)","As a Grammar Nazi, I would suggest using ""deletion of subtasks"" or ""subtask deletion"" instead of ""deletion for subtasks."" Additionally, we should get rid of the word ""with"" to improve the clarity of the sentence.",,
"Well, we could also just put this in /coreboot and leave the other one in /firmware/chromeos. That would just look stupid, but otherwise work fine.

I want to at least try upstreaming the kernel binding for the coreboot node, so I want to minimize the amount of things they're going to hate about it.","One alternative approach could be to place this in /coreboot while leaving the other one in /firmware/chromeos. Although it may seem a bit unconventional, it should function properly and avoid potential issues.",,
"Never use such in args default values of non const args:
 
 Because in other case you will shit bricks: 
 
 http://stackoverflow.com/questions/1132941/least-astonishment-in-python-the-mutable-default-argument","It's generally recommended to avoid using default values for non-constant arguments, as it can lead to unexpected behavior. Here's a helpful Stack Overflow thread explaining why: [link]. It would be best to consider alternative approaches to prevent any potential issues.",,
"the #if is ugly and upstream will hate it, but i can't think of a better idea.

this is the last SELinux tool to be migrated.","While the #if statement may not be aesthetically pleasing and may not be well-received by upstream, I'm currently unable to think of a better idea. We should keep in mind that this is the final SELinux tool to be migrated, and finding a suitable alternative might require further exploration.",,
"Either way it kind of sucks.. If you look, OVSBase already depends on OVSBridge in a kind of silly way. And having vxlan_supported, which instantiates an OVSBridge itself, in OVSBridge isn't any cleaner. And this has to be in one of the two, otherwise testing becomes more of a pain because we need to have execute() mocked out.","Both options have their drawbacks. If we analyze OVSBase's dependency on OVSBridge, it seems a bit convoluted. On the other hand, placing vxlan_supported, which creates an OVSBridge instance, within OVSBridge itself doesn't appear to be a cleaner solution. Ultimately, we need to choose one approach that balances testing convenience and code organization.",,
"-1: if this is a json example, please correct the format, at least the space and indentation are ugly","If this is intended as a JSON example, it would be beneficial to correct the formatting, particularly the spacing and indentation. Ensuring a clean and readable format will greatly enhance the understanding of the example.",,
"It should be removed, how embarrassing :-).",It would be preferable to remove this section as it may lead to potential embarrassment. Let's strive for a polished and error-free codebase.,,
meh-- didn't realize I was being a moron. Moved flags to after target in iosbuild  works fine now. Abandoning this... although I guess the presence of -g in the base flags does bug me a bit. Whatever.,"My apologies for the oversight. I realized that I made a mistake and misplaced the flags before the target in iosbuild. Fortunately, I managed to resolve the issue by making the necessary adjustments. However, I still have a slight concern regarding the presence of -g in the base flags. Nevertheless, I will proceed with abandoning this approach.",,
damn :) Thanks for finding this.,Thank you for pointing this out. I appreciate your help in identifying and resolving the issue.,,
"2017. We update the year when we add new files, but don't update it when we modify old files. It's dumb but whatever.","It seems we have an inconsistency in updating the year. Currently, we update the year when adding new files but overlook modifying old files. While it may appear illogical, let's follow this convention for now and focus on more critical tasks.",,
"Looks like these always return a list, so we should be good. And no pagination. You lucky bastard.","It appears that these functions consistently return a list, which is reassuring. Additionally, there is no need for pagination. This simplifies our implementation and eliminates potential complications. Lucky us!",,
nasty!,"This particular situation is quite challenging and can be described as ""nasty."" We need to carefully evaluate the available options and come up with a solution that minimizes any adverse effects.",,
this means that any calling code that uses this needs to be built with _FILE_OFFSET_BITS=64 too. i guess the fact that it's all C++ means we're safe because the mangled names won't match if you screw up?,"This implies that any calling code utilizing this function should also be built with _FILE_OFFSET_BITS=64. Fortunately, since it's all in C++, we should be safe due to the differences in mangled names if any mistakes occur.",,
I hate it too.,I share your frustration with this issue. It's important to acknowledge our mistakes and learn from them to prevent future occurrences.,,
d'oh... stupid copy+paste error.,Oops! It appears I made a simple copy-paste error. My apologies for the oversight.,,
"Darn kids and your loud music. Get off my lawn! :-D
 
 (this was an existing typo, so not -1-worthy)","Oh, those noisy kids and their loud music! Let's not dwell on this small typo; it was an existing mistake and not significant enough to warrant a negative rating.",,
provide verbose description of what the hell are you doing here,It would be greatly appreciated if you could provide a more detailed and descriptive explanation of your approach. This will help us better understand the purpose and intention behind the code.,,
"Ok so - if there is no device name in values - we will always create a BDM, and if there is none - we do the bastardized upsert. Why not organize code around that to make it a bit more clear?","Okay, so if there is no device name in the values, we will always create a BDM. On the other hand, if there is a device name, we will perform a modified upsert operation. Perhaps we can reorganize the code to make this distinction clearer, improving readability and maintainability.",,
It would be nice to offer 2 (at least) redis and sqlalchemy. IMHO this forces us to create API's that work against more than one implementation (which makes the API's better)  and it avoids pitfalls later when we say oh crap a sqlalchemy implementation isn't the only way to do this (and then we are stuck in a corner because we made API's that are specific to sqlalchemy).,"It would be beneficial to offer at least two implementations, such as redis and sqlalchemy. This approach ensures that our APIs are designed to work with multiple implementations, making them more robust and flexible. By anticipating future needs, we can avoid potential limitations and complications down the line.",,
